,x,y,likelihood,row,col,tile,action
420,470.7642211914063,87.36910247802734,0.9999796152114868,4,0,4.0,
421,469.89556884765625,87.84066772460938,0.9999847412109376,4,0,4.0,
422,469.3880615234375,87.3448257446289,0.9999860525131226,4,0,4.0,
423,472.2177734375,89.7082748413086,0.9999889731407166,4,0,4.0,
424,472.2157897949219,91.1363754272461,0.9999934434890748,4,0,4.0,
425,477.46917724609375,91.40938568115234,0.9999979734420776,4,0,4.0,
426,477.8721008300781,92.77830505371094,0.9999972581863404,4,0,4.0,
427,476.0624084472656,94.80523681640624,0.999998927116394,4,0,4.0,
428,475.7794494628906,98.4729461669922,0.9999892711639404,4,0,4.0,
429,477.0795593261719,100.41691589355467,0.9999712109565736,4,0,4.0,
430,477.6870727539063,100.3978042602539,0.9997338056564332,4,0,4.0,
431,480.3651428222656,104.45110321044922,0.99989116191864,4,0,4.0,
432,482.0494995117188,104.5338134765625,0.9998897314071656,4,0,4.0,
433,482.9210510253906,105.20787048339844,0.9999253749847412,4,0,4.0,
434,482.9629211425781,105.21373748779295,0.9999538064002992,4,0,4.0,
435,482.9696350097656,105.00853729248048,0.9999444484710692,4,0,4.0,
436,482.3729248046875,104.6524658203125,0.9999523162841796,4,0,4.0,
437,481.953369140625,104.46975708007812,0.9999539256095886,4,0,4.0,
438,477.9290771484375,100.3577117919922,0.9999347925186156,4,0,4.0,
439,475.9288940429688,99.98512268066406,0.999994456768036,4,0,4.0,
440,473.8333129882813,98.88623046875,0.9999954700469972,4,0,4.0,
441,470.5516357421875,98.1292495727539,0.9999940395355223,4,0,4.0,
442,467.5698852539063,97.67411041259766,0.9999949932098388,4,0,4.0,
443,464.377685546875,98.20344543457033,0.9999982714653016,4,0,4.0,
444,463.47314453125,99.54045867919922,0.999992847442627,4,0,4.0,
445,462.3836669921875,99.30892181396484,0.999987542629242,4,0,4.0,
446,461.39556884765625,99.19053649902344,0.9999916553497314,4,0,4.0,
447,459.259033203125,99.2830581665039,0.9999969005584716,3,0,3.0,UP
448,458.3261413574219,99.13430786132812,0.9999914169311525,3,0,3.0,
449,457.7920227050781,100.05857849121094,0.9999853372573853,3,0,3.0,
450,453.4019165039063,77.85635375976562,0.9999598264694214,3,0,3.0,
451,455.10595703125,103.41876220703124,0.9999771118164062,3,0,3.0,
452,453.7640686035156,106.24260711669922,0.9999960660934448,3,0,3.0,
453,452.4258117675781,110.17691040039062,0.9999984502792358,3,0,3.0,
454,451.4645690917969,109.94763946533205,0.9999991655349731,3,0,3.0,
455,450.9820556640625,110.01358795166016,0.9999991655349731,3,0,3.0,
456,450.409912109375,109.51134490966795,0.9999994039535522,3,0,3.0,
457,450.4632873535156,109.46062469482422,0.9999994039535522,3,0,3.0,
458,450.9149169921875,109.69503784179688,0.9999991655349731,3,0,3.0,
459,451.1931762695313,109.9117202758789,0.9999992847442628,3,0,3.0,
460,451.8981018066406,110.25182342529295,0.9999991655349731,3,0,3.0,
461,452.4339294433594,109.96566009521484,0.9999991655349731,3,0,3.0,
462,452.5858459472656,109.35853576660156,0.9999988675117492,3,0,3.0,
463,453.21978759765625,108.690185546875,0.9999988079071044,3,0,3.0,
464,453.6656494140625,108.41233825683594,0.999997854232788,3,0,3.0,
465,454.0329284667969,108.38552856445312,0.999998152256012,3,0,3.0,
466,454.1154174804688,107.85037994384766,0.9999980926513672,3,0,3.0,
467,454.1325988769531,107.4798812866211,0.999997854232788,3,0,3.0,
468,454.3019104003906,106.98726654052734,0.9999960660934448,3,0,3.0,
469,454.0587768554688,107.23893737792967,0.9999975562095642,3,0,3.0,
470,453.75482177734375,107.79579162597656,0.999998152256012,3,0,3.0,
471,452.9208679199219,109.81896209716795,0.9999987483024596,3,0,3.0,
472,451.5912780761719,110.85834503173828,0.9999995827674866,3,0,3.0,
473,449.3292846679688,111.2904052734375,0.9999994039535522,3,0,3.0,
474,448.4553527832031,112.26398468017578,0.9999989867210388,3,0,3.0,
475,448.2095031738281,112.5508270263672,0.9999991059303284,3,0,3.0,
476,446.9666442871094,114.31491088867188,0.9999988079071044,3,0,3.0,
477,445.3760070800781,116.01641845703124,0.9999989867210388,3,0,3.0,
478,440.6301574707031,115.6568832397461,0.999997854232788,3,0,3.0,
479,440.0645751953125,114.99373626708984,0.999999463558197,3,0,3.0,
480,436.770263671875,114.81336212158205,0.9999997615814208,3,0,3.0,
481,433.2798767089844,115.78466033935548,0.9999995231628418,3,0,3.0,
482,431.4337768554688,116.16641998291016,0.9999985694885254,3,0,3.0,
483,429.1047973632813,119.51252746582033,0.9999964237213136,3,1,8.0,RIGHT
484,426.92327880859375,123.1471176147461,0.9999968409538268,3,1,8.0,
485,424.444580078125,124.93059539794922,0.999997854232788,3,1,8.0,
486,420.9022216796875,126.26509857177734,0.999998927116394,3,1,8.0,
487,418.85052490234375,128.09991455078125,0.9999992847442628,3,1,8.0,
488,407.8017578125,132.53038024902344,0.999992311000824,3,1,8.0,
489,403.4932556152344,132.75828552246094,0.9999957084655762,3,1,8.0,
490,399.2179870605469,133.45140075683594,0.9999879598617554,3,1,8.0,
491,393.7006530761719,67.65757751464844,0.9999952912330629,3,0,3.0,LEFT
492,390.941650390625,68.39525604248047,0.9999905228614808,3,0,3.0,
493,385.92132568359375,69.65498352050781,0.9999982118606568,3,0,3.0,
494,383.22601318359375,128.55772399902344,0.9999860525131226,3,1,8.0,RIGHT
495,384.4773254394531,126.6791534423828,0.9999958276748656,3,1,8.0,
496,379.9436950683594,124.36736297607422,0.9999935626983644,3,1,8.0,
497,376.96575927734375,123.65167999267578,0.9999996423721312,3,1,8.0,
498,371.5173950195313,78.17595672607422,0.999993085861206,2,0,2.0,
499,367.623046875,114.42579650878906,0.9999680519104004,2,0,2.0,
500,362.4779052734375,114.15608978271484,0.9999961853027344,2,0,2.0,
501,361.19189453125,113.46197509765624,0.9999990463256836,2,0,2.0,
502,357.8969116210937,112.74659729003906,0.9999987483024596,2,0,2.0,
503,353.4967346191406,113.8141860961914,0.999998927116394,2,0,2.0,
504,350.3952941894531,115.2056655883789,0.999988853931427,2,0,2.0,
505,346.5995483398437,112.75373077392578,0.9999635219573976,2,0,2.0,
506,343.31805419921875,112.03556060791016,0.9998779296875,2,0,2.0,
507,337.5035705566406,89.34856414794922,0.9996343851089478,2,0,2.0,
